MR1408,,取盘工位传感器有料滞留(R108),,
MR1409,,闸门工位传感器有料滞留(R109),,
MR1410,,闸门关闭状态传感器有料滞留(R110),,
MR1411,,纯金石墨盘摆放位有料滞留(R111),,
MR1412,,闸门口光栅有料滞留(R112),,
MR1503,,K金石墨盘摆放位有料滞留(R203),,
MR1600,,熔炼加热超时,,
MR1601,,熔炼加热未达到熔化温度,,
MR1602,,熔炼后开盖冷却超时,,
MR1603,,石墨位冷却超时,,
MR1604,,回水温度超过设定的最高温度,,
MR1700,,PLC主从站485通信错误,,
MR1800,,粗秤读取重量失败,,
MR1801,,粗秤加磁场后读数失败,,
MR1802,,闸门打开后粗秤未检出重量变化,,
MR1803,,退货开闸后未检出重量变化,,
MR1804,,精称有物料残留,,
MR1900,,冷水机报警,,
MR1902,,冷水机：水箱水位报警,,
MR1908,,冷水机：水温过高报警,,
MR1909,,冷水机：水温过低报警,,
MR1915,,石墨盘次数清零,,
MR2000,,石墨盘寿命即将到期_提醒,,
MR2002,,石墨盘寿命到期_提醒,,
MR2004,,设备门打开_提醒,,
MR2700,,X轴步进脉冲_输出标志,,
MR2701,,X轴步进方向_输出标志,,
MR2702,,Y轴步进脉冲_输出标志,,
MR2703,,Y轴步进方向_输出标志,,
MR2704,,Z轴步进脉冲_输出标志,,
MR2705,,Z轴步进方向_输出标志,,
MR2708,,石墨夹子气缸电磁阀原点_输出标志,,
MR2709,,石墨夹子气缸电磁阀动点_输出标志,,
MR2710,,载盘夹子气缸电磁阀原点_输出标志,,
MR2711,,载盘夹子气缸电磁阀动点_输出标志,,
MR2712,,Z轴夹子气缸电磁阀原点_输出标志,,
MR2713,,Z轴夹子气缸电磁阀动点_输出标志,,
MR2714,,倾倒夹子气缸电磁阀原点_输出标志,,
MR2715,,倾倒夹子气缸电磁阀动点_输出标志,,
MR2800,,设备右门门锁 (屏端)_输出标志,,
MR2801,,设备左门门锁 (闸口端)_输出标志,,
MR2802,,气罐加压打开电磁阀_输出标志,,
MR2804,,粗称电磁铁_输出标志,,
MR2805,,冷水机用循环水泵_输出标志,,
MR2806,,水冷头用循环水泵_输出标志,,
MR2807,,工业相机光源_输出标志,,
MR2900,,闸门推杆电机启动_输出标志,,
MR2901,,闸门推杆电机方向_输出标志,,
MR2902,,取盘电机启动_输出标志,,
MR2903,,取盘电机方向_输出标志,,
MR2904,,翻转电机启动_输出标志,,
MR2905,,翻转电机方向_输出标志,,
MR2906,,倾倒电机启动_输出标志,,
MR2907,,倾倒电机方向_输出标志,,
MR2908,,测金仪电源_输出标志,,
MR2909,,熔金炉电源_输出标志,,
MR2910,,冷水机电源_输出标志,,
MR2911,,向熔炉吹气冷却电磁阀_输出标志,,
MR2912,,空气压缩机电源_输出标志,,
MR2913,,熔金炉启动_输出标志,,
MR2914,,真空箱抽真空电磁阀_输出标志,,
MR2915,,真空箱泄气电磁阀_输出标志,,
MR3008,,石墨夹子气缸电磁阀原点_HMI,,
MR3009,,石墨夹子气缸电磁阀动点_HMI,,
MR3010,,载盘夹子气缸电磁阀原点_HMI,,
MR3011,,载盘夹子气缸电磁阀动点_HMI,,
MR3012,,Z轴夹子气缸电磁阀原点_HMI,,
MR3013,,Z轴夹子气缸电磁阀动点_HMI,,
MR3014,,倾倒夹子气缸电磁阀原点_HMI,,
MR3015,,倾倒夹子气缸电磁阀动点_HMI,,
MR3100,,设备右门门锁 (屏端)_HMI,,
MR3101,,设备左门门锁 (闸口端)_HMI,,
MR3102,,气罐加压打开电磁阀_HMI,,
MR3104,,粗称电磁铁_HMI,,
MR3105,,冷水机用循环水泵_HMI,,
MR3106,,水冷头用循环水泵_HMI,,
MR3107,,工业相机光源_HMI,,
MR3108,,闸门开_HMI,,
MR3109,,闸门关_HMI,,
MR3110,,取盘电机闸门位_HMI,,
MR3111,,取盘电机取盘位_HMI,,
MR3112,,翻转电机载盘位_HMI,,
MR3113,,翻转电机石墨位_HMI,,
MR3114,,倾倒电机回零_HMI,,
MR3115,,倾倒电机动作_HMI,,
MR3200,,测金仪电源_HMI,,
MR3201,,熔金炉电源_HMI,,
MR3202,,冷水机电源_HMI,,
MR3203,,向熔炉吹气冷却电磁阀_HMI,,
MR3204,,空气压缩机电源_HMI,,
MR3205,,熔金炉启动_HMI,,
MR3206,,真空箱抽真空电磁阀_HMI,,
MR3207,,真空箱泄气电磁阀_HMI,,
MR3215,,翻转电机原点_HMI,,
MR3300,,（点动）取盘电机闸门位_HMI,,
MR3301,,（点动）取盘电机取盘位_HMI,,
MR3302,,（点动）翻转电机载盘位_HMI,,
MR3303,,（点动）翻转电机石墨位_HMI,,
MR3304,,（点动）倾倒电机回零_HMI,,
MR3305,,（点动）倾倒电机动作_HMI,,
MR3306,,（点动）闸门电机开门_HMI,,
MR3307,,（点动）闸门电机关门_HMI,,
MR3308,,石墨夹子气缸电磁阀原点_自动,,
MR3309,,石墨夹子气缸电磁阀动点_自动,,
MR3310,,载盘夹子气缸电磁阀原点_自动,,
MR3311,,载盘夹子气缸电磁阀动点_自动,,
MR3312,,Z轴夹子气缸电磁阀原点_自动,,
MR3313,,Z轴夹子气缸电磁阀动点_自动,,
MR3314,,倾倒夹子气缸电磁阀原点_自动,,
MR3315,,倾倒夹子气缸电磁阀动点_自动,,
MR3400,,设备右门门锁 (屏端)_自动,,
MR3401,,设备左门门锁 (闸口端)_自动,,
MR3402,,气罐加压打开电磁阀_自动,,
MR3404,,粗称电磁铁_自动,,
MR3405,,冷水机用循环水泵_自动,,
MR3406,,水冷头用循环水泵_自动,,
MR3407,,工业相机光源_自动,,
MR3408,,闸门开_自动,,
MR3409,,闸门关_自动,,
MR3410,,闸门位_自动,,
MR3411,,取盘电机取盘位_自动,,
MR3412,,翻转电机载盘位_自动,,
MR3413,,翻转电机石墨位_自动,,
MR3414,,倾倒电机回零_自动,,
MR3415,,倾倒电机动作_自动,,
MR3500,,测金仪电源_自动,,
MR3501,,熔金炉电源_自动,,
MR3502,,冷水机电源_自动,,
MR3503,,向熔炉吹气冷却电磁阀_自动,,
MR3504,,空气压缩机电源_自动,,
MR3505,,熔金炉启动_自动,,
MR3506,,真空箱抽真空电磁阀_自动,,
MR3507,,真空箱泄气电磁阀_自动,,
